week,date,sale
1,1/3/2011,711313.73
2,1/10/2011,1423757.55
3,1/17/2011,1654896.61
4,1/24/2011,2064732.68
5,1/31/2011,1678985.49
6,2/7/2011,951518.93
7,2/14/2011,1322800.25
8,2/21/2011,2235439.93
9,2/28/2011,3098788.29
10,3/7/2011,2447716.11
11,3/14/2011,1919239.47
12,3/21/2011,2390796.96
13,3/28/2011,3198447.33
14,4/4/2011,1036924.69
15,4/11/2011,2328385.32
16,4/18/2011,2968480.95
17,4/25/2011,5918968.06
18,5/2/2011,417429.21
19,5/9/2011,2487970.16
20,5/16/2011,2776004.66
21,5/23/2011,3074180.72
22,5/30/2011,3069891.93
23,6/6/2011,2300484.43
24,6/13/2011,2672491.71
25,6/20/2011,2806076.04
26,6/27/2011,4834298.32
27,7/4/2011,1768049.98
28,7/11/2011,3911372.35
29,7/18/2011,3707663.29
30,7/25/2011,3682867.9
31,8/1/2011,2055023.02
32,8/8/2011,2167486.23
33,8/15/2011,2225339.15
34,8/22/2011,3115716.55
35,8/29/2011,4202252.44
36,9/5/2011,1921657.8
37,9/12/2011,2192928.79
38,9/19/2011,2102634.99
39,9/26/2011,3969249.35
40,10/3/2011,807806.15
41,10/10/2011,2140128.48
42,10/17/2011,2198992.12
43,10/24/2011,2918538.58
44,10/31/2011,2970670.37
45,11/7/2011,1855595.18
46,11/14/2011,2437905.65
47,11/21/2011,2035081.2
48,11/28/2011,3183651.65
49,12/5/2011,1647573.99
50,12/12/2011,2599994.65
51,12/19/2011,1982702.51
52,12/26/2011,5664122.33
53,1/2/2012,474894.11
54,1/9/2012,1777075.9
55,1/16/2012,2343764.5
56,1/23/2012,2376493.52
57,1/30/2012,3200545.95
58,2/6/2012,1996827.41
59,2/13/2012,2787915.88
60,2/20/2012,3658777.13
61,2/27/2012,5271064.06
62,3/5/2012,2219878.76
63,3/12/2012,4541204.79
64,3/19/2012,2958858.86
65,3/26/2012,6212745.4
66,4/2/2012,813333.14
67,4/9/2012,2075972.21
68,4/16/2012,3070987.09
69,4/23/2012,3212244
70,4/30/2012,3916151.88
71,5/7/2012,2992253.77
72,5/14/2012,3215168.09
73,5/21/2012,3616325.68
74,5/28/2012,5438052.46
75,6/4/2012,1853997.54
76,6/11/2012,2314978.87
77,6/18/2012,3221859.72
78,6/25/2012,6622246.7
79,7/2/2012,1019175.45
80,7/9/2012,2410892.31
81,7/16/2012,2641670.96
82,7/23/2012,2695144.81
83,7/30/2012,3804006.2
84,8/6/2012,2699950.34
85,8/13/2012,2879551.01
86,8/20/2012,2719745.46
87,8/27/2012,5258899.4
88,9/3/2012,1804751.51
89,9/10/2012,2630877.34
90,9/17/2012,1962121.16
91,9/24/2012,3441782.15
92,10/1/2012,2250499.73
93,10/8/2012,1889899.22
94,10/15/2012,1882478.36
95,10/22/2012,2901318.29
96,10/29/2012,3685869.39
97,11/5/2012,1237016.05
98,11/12/2012,1802619.79
99,11/19/2012,1954365.12
100,11/26/2012,5004006.65
101,12/3/2012,1262686.75
102,12/10/2012,2209359.15
103,12/17/2012,2009457.02
104,12/24/2012,1972998.99
105,12/31/2012,3713082.1
106,1/7/2013,2009084.73
107,1/14/2013,2364485.64
108,1/21/2013,2672816.85
109,1/28/2013,3442368.42
110,2/4/2013,1683390.17
111,2/11/2013,2486843.81
112,2/18/2013,2530297.26
113,2/25/2013,4407697.56
114,3/4/2013,1952021.51
115,3/11/2013,3084523.27
116,3/18/2013,3194112.58
117,3/25/2013,4344193.59
118,4/1/2013,2068685.31
119,4/8/2013,2148550.55
120,4/15/2013,2346233.32
121,4/22/2013,2254894.25
122,4/29/2013,3752789.68
123,5/6/2013,2041082.05
124,5/13/2013,2130176.62
125,5/20/2013,2709778.56
126,5/27/2013,4693177.68
127,6/3/2013,1847760.03
128,6/10/2013,2384907.27
129,6/17/2013,2781536.15
130,6/24/2013,3755584.64
